Customer ID,Communication Date,Communication Method,Communication Content,Responsible Person,Follow-up Status
C077,2010/02/11,Phone,Client feedback,David Liu,Pending
C123,2017/03/17,Meeting,Confirm construction plan,Michael Zhang,Pending
C036,2012/06/03,Phone,Project delay explanation,Michael Zhang,Pending
C028,2022/07/06,Phone,Budget discussion,Alex Wang,Pending
C006,2023/10/24,Meeting,Project delay explanation,Alex Wang,In Progress
C083,2015/01/22,Phone,Budget discussion,David Liu,Resolved
C078,2021/06/14,Phone,Client feedback,Emma Chen,Pending
C057,2019/11/13,Meeting,Client feedback,Michael Zhang,Pending
C027,2010/05/02,Phone,Confirm construction plan,Michael Zhang,In Progress
C127,2014/11/14,Phone,Client feedback,Jane Li,Pending
C077,2023/05/25,Meeting,Client feedback,David Liu,In Progress
C077,2024/07/10,Meeting,Client feedback,Michael Zhang,Resolved
C093,2021/01/04,Email,Client feedback,Jane Li,In Progress
C052,2012/06/03,Email,Confirm construction plan,Michael Zhang,In Progress
C035,2016/03/12,Email,Budget discussion,Alex Wang,Resolved
C003,2012/02/05,Email,Client feedback,Alex Wang,In Progress
C066,2023/01/24,Email,Budget discussion,Jane Li,Pending
C125,2015/05/07,Phone,Budget discussion,Alex Wang,In Progress
C064,2013/04/13,Meeting,Budget discussion,Michael Zhang,Pending
C094,2011/02/08,Phone,Project delay explanation,Michael Zhang,In Progress
C130,2019/04/21,Phone,Confirm construction plan,Michael Zhang,Resolved
C096,2010/11/28,Meeting,Budget discussion,Alex Wang,In Progress
C037,2011/09/24,Phone,Confirm construction plan,Jane Li,Pending
C114,2014/10/24,Meeting,Confirm construction plan,Michael Zhang,Resolved
C064,2015/11/20,Phone,Confirm construction plan,Jane Li,In Progress
C076,2022/12/17,Phone,Budget discussion,Michael Zhang,Resolved
C020,2014/01/11,Meeting,Client feedback,Alex Wang,Pending
C026,2013/10/20,Phone,Project delay explanation,Jane Li,Pending
C103,2011/06/24,Email,Confirm construction plan,David Liu,Pending
C097,2015/01/28,Email,Confirm construction plan,David Liu,Resolved
C033,2015/10/03,Meeting,Project delay explanation,Jane Li,In Progress
C075,2017/10/18,Email,Project delay explanation,David Liu,In Progress
C064,2024/11/04,Phone,Budget discussion,David Liu,Pending
C123,2014/01/04,Email,Confirm construction plan,Jane Li,Resolved
C021,2014/06/08,Email,Client feedback,Jane Li,Pending
C059,2011/02/16,Email,Confirm construction plan,Jane Li,In Progress
C005,2023/09/01,Email,Client feedback,Michael Zhang,In Progress
C016,2020/01/20,Meeting,Client feedback,Jane Li,Resolved
C098,2009/03/13,Meeting,Confirm construction plan,Alex Wang,Pending
C127,2010/06/16,Phone,Client feedback,Emma Chen,Resolved
C016,2015/03/28,Meeting,Client feedback,Emma Chen,Resolved
C097,2013/01/27,Email,Project delay explanation,Jane Li,In Progress
C093,2020/11/01,Email,Budget discussion,Emma Chen,Resolved
C005,2010/11/12,Meeting,Project delay explanation,David Liu,Pending
C065,2014/12/26,Meeting,Project delay explanation,Michael Zhang,Pending
C103,2018/03/18,Phone,Budget discussion,Emma Chen,Resolved
C121,2017/10/11,Meeting,Client feedback,Alex Wang,Pending
C100,2006/07/13,Meeting,Project delay explanation,Alex Wang,Pending
C112,2017/07/21,Meeting,Confirm construction plan,Emma Chen,Pending
C020,2024/07/26,Meeting,Confirm construction plan,Alex Wang,In Progress
C010,2015/05/11,Phone,Budget discussion,David Liu,Resolved
C084,2011/05/01,Phone,Client feedback,Emma Chen,Resolved
C076,2016/06/11,Email,Budget discussion,Jane Li,In Progress
C021,2010/03/06,Phone,Project delay explanation,Michael Zhang,In Progress
C066,2015/07/13,Phone,Confirm construction plan,Jane Li,Resolved
C111,2017/11/13,Email,Project delay explanation,Jane Li,Resolved
C018,2006/03/27,Email,Budget discussion,David Liu,In Progress
C115,2016/07/22,Meeting,Confirm construction plan,Jane Li,In Progress
C116,2023/12/15,Phone,Client feedback,David Liu,Resolved
C096,2023/05/07,Meeting,Project delay explanation,Jane Li,Resolved
C005,2010/05/26,Email,Client feedback,Michael Zhang,Resolved
C082,2022/11/23,Phone,Client feedback,Michael Zhang,Pending
C107,2023/10/07,Meeting,Budget discussion,Jane Li,In Progress
C112,2021/06/23,Phone,Project delay explanation,Emma Chen,In Progress
C083,2013/11/03,Phone,Client feedback,Michael Zhang,Resolved
C067,2016/08/19,Phone,Project delay explanation,Emma Chen,Pending
C052,2006/07/26,Phone,Confirm construction plan,David Liu,In Progress
C128,2012/11/05,Phone,Client feedback,Emma Chen,Pending
C113,2017/05/17,Meeting,Project delay explanation,Jane Li,Pending
C049,2006/07/07,Meeting,Confirm construction plan,Alex Wang,Resolved
C036,2011/10/20,Email,Project delay explanation,Alex Wang,Resolved
C092,2015/08/13,Email,Budget discussion,David Liu,Pending
C106,2018/11/18,Meeting,Confirm construction plan,Jane Li,In Progress
C121,2022/05/20,Phone,Client feedback,Michael Zhang,Resolved
C088,2014/05/08,Email,Client feedback,Michael Zhang,In Progress
C002,2011/07/06,Meeting,Project delay explanation,Emma Chen,Resolved
C118,2007/07/17,Email,Confirm construction plan,Alex Wang,Pending
C051,2019/02/01,Meeting,Client feedback,Alex Wang,Pending
C119,2021/07/15,Meeting,Confirm construction plan,David Liu,Resolved
C053,2007/08/02,Phone,Project delay explanation,Alex Wang,Pending
C114,2009/03/06,Meeting,Client feedback,Emma Chen,Resolved
C027,2022/06/26,Phone,Budget discussion,Alex Wang,Pending
C084,2014/07/08,Meeting,Budget discussion,Emma Chen,Pending
C118,2022/06/22,Email,Budget discussion,Jane Li,Pending
C045,2011/05/19,Phone,Confirm construction plan,Alex Wang,Pending
C093,2023/12/20,Phone,Confirm construction plan,David Liu,Resolved
C006,2011/11/02,Email,Confirm construction plan,Michael Zhang,Pending
C092,2009/01/14,Meeting,Budget discussion,Alex Wang,Pending
C057,2017/04/06,Meeting,Confirm construction plan,Michael Zhang,In Progress
C090,2014/07/15,Email,Budget discussion,Jane Li,In Progress
C007,2009/11/01,Email,Project delay explanation,David Liu,In Progress
C086,2007/09/16,Email,Client feedback,Jane Li,Pending
C062,2006/01/01,Email,Budget discussion,Jane Li,Resolved
C101,2007/05/27,Meeting,Confirm construction plan,Emma Chen,Resolved
C089,2011/09/15,Meeting,Client feedback,Michael Zhang,Pending
C031,2024/06/13,Meeting,Client feedback,Emma Chen,In Progress
C069,2016/04/26,Phone,Budget discussion,Jane Li,In Progress
C063,2023/01/09,Phone,Confirm construction plan,Michael Zhang,Resolved
C095,2006/01/22,Meeting,Budget discussion,David Liu,In Progress
C067,2008/06/18,Email,Client feedback,Emma Chen,Pending
C013,2022/05/24,Email,Client feedback,David Liu,Resolved
C049,2014/04/15,Meeting,Project delay explanation,Emma Chen,In Progress
C018,2021/07/17,Phone,Project delay explanation,Michael Zhang,Resolved
C062,2017/09/17,Meeting,Client feedback,Michael Zhang,Resolved
C123,2007/02/09,Meeting,Client feedback,Alex Wang,Pending
C116,2009/07/08,Email,Project delay explanation,Alex Wang,Resolved
C082,2017/05/21,Phone,Budget discussion,Michael Zhang,Pending
C026,2008/07/07,Phone,Project delay explanation,Michael Zhang,In Progress
C024,2013/01/23,Email,Client feedback,David Liu,Pending
C098,2022/04/18,Phone,Budget discussion,Emma Chen,In Progress
C107,2015/09/06,Meeting,Confirm construction plan,David Liu,In Progress
C108,2013/02/03,Meeting,Budget discussion,Emma Chen,Resolved
C066,2012/01/08,Phone,Project delay explanation,Jane Li,Resolved
C049,2023/11/05,Meeting,Project delay explanation,Emma Chen,Pending
C120,2016/01/21,Meeting,Client feedback,Michael Zhang,In Progress
C086,2012/07/09,Phone,Budget discussion,David Liu,Resolved
C084,2021/12/01,Meeting,Client feedback,Emma Chen,In Progress
C122,2019/11/18,Meeting,Budget discussion,Michael Zhang,In Progress
C095,2006/06/12,Meeting,Client feedback,Jane Li,In Progress
C083,2018/10/15,Email,Client feedback,Emma Chen,Pending
C071,2018/12/08,Email,Confirm construction plan,Michael Zhang,Resolved
C102,2017/05/14,Phone,Client feedback,Michael Zhang,Resolved
C073,2024/02/02,Email,Budget discussion,David Liu,Resolved
C051,2024/03/03,Meeting,Client feedback,Jane Li,In Progress
C053,2017/02/12,Meeting,Project delay explanation,Alex Wang,Resolved
C026,2009/03/23,Email,Client feedback,David Liu,Pending
C020,2020/11/07,Phone,Budget discussion,Jane Li,Resolved
C101,2008/07/03,Phone,Budget discussion,David Liu,Resolved
C053,2016/06/25,Phone,Client feedback,Emma Chen,In Progress
C052,2014/10/12,Meeting,Confirm construction plan,David Liu,Pending
C118,2009/07/11,Phone,Project delay explanation,Emma Chen,In Progress
C087,2017/08/13,Phone,Client feedback,David Liu,Pending
C005,2017/02/07,Phone,Project delay explanation,David Liu,Pending
C106,2006/08/19,Meeting,Client feedback,Michael Zhang,In Progress
C023,2015/03/13,Phone,Client feedback,Jane Li,Pending
C092,2015/09/12,Phone,Client feedback,Alex Wang,Resolved
C048,2009/12/17,Phone,Project delay explanation,David Liu,Resolved
C096,2013/09/18,Meeting,Budget discussion,Michael Zhang,Resolved
C109,2014/04/21,Email,Project delay explanation,Jane Li,Pending
C068,2013/06/07,Meeting,Project delay explanation,David Liu,Pending
C056,2013/04/26,Meeting,Project delay explanation,Alex Wang,Pending
C059,2020/10/16,Meeting,Project delay explanation,Alex Wang,Resolved
C109,2012/01/11,Phone,Confirm construction plan,Michael Zhang,Pending
C023,2021/05/11,Meeting,Project delay explanation,Michael Zhang,In Progress
C104,2010/08/09,Meeting,Client feedback,Michael Zhang,Resolved
C053,2011/10/22,Phone,Confirm construction plan,Alex Wang,In Progress
C046,2015/04/22,Phone,Confirm construction plan,Jane Li,Resolved
C122,2012/09/22,Meeting,Budget discussion,Michael Zhang,In Progress
C026,2014/12/03,Phone,Client feedback,Alex Wang,In Progress
C076,2022/09/03,Phone,Client feedback,Michael Zhang,Pending
C013,2022/11/21,Phone,Client feedback,Emma Chen,Pending
C130,2018/01/20,Meeting,Project delay explanation,Michael Zhang,Pending
C117,2010/11/04,Meeting,Project delay explanation,Michael Zhang,Pending
C055,2024/08/16,Meeting,Client feedback,Michael Zhang,Pending
C079,2014/08/02,Meeting,Budget discussion,Alex Wang,Resolved
C054,2015/10/01,Email,Project delay explanation,Jane Li,Pending
C104,2021/06/03,Phone,Confirm construction plan,Emma Chen,Pending
C011,2021/10/16,Email,Client feedback,Jane Li,In Progress
C027,2023/01/26,Meeting,Confirm construction plan,Alex Wang,Pending
C090,2024/06/20,Email,Budget discussion,David Liu,Pending
C028,2007/12/12,Phone,Client feedback,Emma Chen,In Progress
C074,2011/06/26,Email,Project delay explanation,Jane Li,In Progress
C049,2007/11/12,Phone,Project delay explanation,Alex Wang,In Progress
C067,2007/07/06,Email,Project delay explanation,Jane Li,In Progress
C054,2007/09/21,Phone,Budget discussion,Jane Li,In Progress
C069,2023/12/14,Meeting,Project delay explanation,Jane Li,In Progress
C019,2009/07/23,Email,Budget discussion,Jane Li,Pending
C093,2021/05/13,Email,Budget discussion,Michael Zhang,Pending
C049,2008/12/02,Meeting,Confirm construction plan,Emma Chen,Pending
C089,2006/04/10,Meeting,Confirm construction plan,Michael Zhang,In Progress
C066,2023/11/08,Meeting,Project delay explanation,Michael Zhang,Pending
C001,2014/05/09,Email,Project delay explanation,Alex Wang,In Progress
C026,2016/12/11,Email,Client feedback,David Liu,In Progress
C023,2021/09/20,Phone,Project delay explanation,David Liu,Pending
C109,2014/10/04,Email,Client feedback,Jane Li,Pending
C052,2006/08/23,Meeting,Budget discussion,Emma Chen,Pending
C014,2011/05/13,Phone,Client feedback,David Liu,Pending
C099,2015/01/01,Phone,Budget discussion,Emma Chen,Pending
C060,2013/12/06,Meeting,Confirm construction plan,Emma Chen,Resolved
C025,2006/05/12,Meeting,Project delay explanation,Jane Li,Resolved
C054,2011/11/18,Meeting,Budget discussion,Michael Zhang,Resolved
C063,2013/03/01,Email,Project delay explanation,David Liu,Resolved
C026,2007/08/21,Meeting,Client feedback,Alex Wang,Resolved
C099,2019/01/16,Meeting,Confirm construction plan,Emma Chen,Pending
C027,2016/05/14,Phone,Budget discussion,Alex Wang,In Progress
C108,2019/03/13,Phone,Client feedback,Jane Li,Pending
C065,2021/04/10,Meeting,Confirm construction plan,David Liu,Resolved
C052,2006/05/22,Phone,Project delay explanation,David Liu,Resolved
C004,2008/01/24,Phone,Project delay explanation,Alex Wang,Resolved
C068,2011/10/24,Email,Confirm construction plan,Jane Li,Pending
C067,2018/10/17,Email,Confirm construction plan,Alex Wang,Resolved
C008,2014/12/09,Phone,Budget discussion,Michael Zhang,In Progress
C038,2007/09/13,Phone,Budget discussion,David Liu,Resolved
C057,2022/03/23,Phone,Client feedback,Alex Wang,Resolved
C033,2008/04/14,Meeting,Client feedback,Jane Li,Pending
C073,2011/05/26,Email,Client feedback,Emma Chen,Resolved
C125,2006/03/12,Email,Confirm construction plan,Emma Chen,Resolved
C093,2016/08/13,Meeting,Client feedback,Jane Li,Pending
C102,2022/03/06,Phone,Client feedback,Emma Chen,In Progress
C019,2019/12/20,Meeting,Confirm construction plan,Alex Wang,Pending
C049,2024/05/17,Email,Client feedback,Jane Li,Pending
C006,2013/02/24,Meeting,Budget discussion,Emma Chen,Pending
C056,2022/02/06,Phone,Confirm construction plan,Emma Chen,Pending
C052,2019/04/10,Phone,Budget discussion,David Liu,Pending
C064,2014/10/08,Email,Client feedback,Michael Zhang,Pending
C085,2022/04/28,Email,Confirm construction plan,David Liu,Pending
C092,2018/04/11,Email,Project delay explanation,Michael Zhang,Resolved
C098,2023/04/25,Meeting,Budget discussion,David Liu,In Progress
C079,2016/09/05,Email,Project delay explanation,Jane Li,In Progress
C128,2007/03/07,Phone,Project delay explanation,Alex Wang,Pending
C029,2020/09/17,Meeting,Client feedback,David Liu,Resolved
C099,2010/11/11,Meeting,Confirm construction plan,Jane Li,Pending
C060,2016/10/26,Meeting,Client feedback,Emma Chen,Resolved
C039,2016/09/25,Email,Budget discussion,Alex Wang,Resolved
C128,2021/09/06,Meeting,Budget discussion,Emma Chen,In Progress
C071,2018/07/15,Phone,Budget discussion,Jane Li,Resolved
C012,2014/05/11,Phone,Confirm construction plan,Emma Chen,Resolved
C048,2013/04/16,Email,Client feedback,David Liu,Resolved
C045,2022/07/15,Meeting,Client feedback,David Liu,Resolved
C036,2009/09/11,Email,Client feedback,Michael Zhang,In Progress
C119,2016/07/21,Meeting,Confirm construction plan,Jane Li,Pending
C081,2011/10/22,Email,Budget discussion,David Liu,Pending
C010,2012/12/19,Email,Project delay explanation,Emma Chen,In Progress
C104,2014/03/09,Phone,Client feedback,Michael Zhang,In Progress
C073,2023/10/23,Phone,Project delay explanation,David Liu,Resolved
C035,2019/04/06,Phone,Project delay explanation,David Liu,Resolved
C038,2018/06/10,Meeting,Client feedback,Michael Zhang,Resolved
C120,2009/03/18,Email,Project delay explanation,Alex Wang,Resolved
C107,2006/05/01,Phone,Client feedback,Alex Wang,Pending
C057,2023/03/02,Phone,Client feedback,Alex Wang,Pending
C040,2008/09/12,Phone,Budget discussion,Michael Zhang,Resolved
C130,2021/02/18,Phone,Client feedback,David Liu,In Progress
C128,2011/11/19,Phone,Client feedback,Emma Chen,Pending
C102,2008/08/18,Meeting,Project delay explanation,Jane Li,Pending
C098,2010/09/24,Email,Budget discussion,Emma Chen,In Progress
C084,2019/01/14,Email,Budget discussion,Alex Wang,Pending
C104,2018/11/12,Phone,Confirm construction plan,Jane Li,Resolved
C077,2019/03/09,Phone,Confirm construction plan,Michael Zhang,Resolved
C071,2012/05/04,Phone,Project delay explanation,Michael Zhang,In Progress
C111,2015/08/12,Meeting,Budget discussion,Jane Li,Resolved
C047,2024/11/26,Meeting,Project delay explanation,Michael Zhang,Resolved
C075,2006/04/14,Email,Budget discussion,David Liu,Resolved
C118,2012/06/02,Meeting,Budget discussion,Michael Zhang,Pending
C006,2016/06/19,Meeting,Client feedback,Michael Zhang,Pending
C080,2024/07/17,Meeting,Confirm construction plan,Alex Wang,Pending
C017,2024/11/27,Meeting,Budget discussion,Emma Chen,In Progress
C079,2011/04/01,Phone,Budget discussion,David Liu,Pending
C045,2012/08/13,Meeting,Project delay explanation,Michael Zhang,Resolved
C097,2010/07/27,Phone,Budget discussion,Michael Zhang,Resolved
C066,2021/08/07,Phone,Project delay explanation,Emma Chen,In Progress
C088,2011/11/03,Meeting,Project delay explanation,Jane Li,Pending
C051,2017/02/06,Meeting,Client feedback,Michael Zhang,Pending
C093,2014/07/10,Phone,Confirm construction plan,Alex Wang,Pending
C087,2015/06/28,Phone,Confirm construction plan,Jane Li,Pending
C007,2007/06/15,Phone,Budget discussion,Emma Chen,In Progress
C049,2024/11/23,Phone,Confirm construction plan,Alex Wang,In Progress
C020,2024/07/23,Phone,Budget discussion,Michael Zhang,Resolved
C045,2024/10/09,Meeting,Client feedback,Emma Chen,Pending
C025,2020/08/08,Phone,Project delay explanation,Emma Chen,Pending
C088,2012/12/19,Email,Confirm construction plan,Michael Zhang,Resolved
